Type,Title,Price,Location,Beds,Baths,Area,Date
House,Bungalow for Sale 1000 Square yards in DHA phase 8,19 Crore,"DHA Phase 8 - Zone A, DHA Phase 8",6,7,"1,000 Sq. Yd.",Added: 9 minutes ago
House,"500 Square Yards Brand New West Open House For Sale DHA Phase 8, Karachi",20.25 Crore,"DHA Phase 8, DHA Defence",5,6,500 Sq. Yd.,Added: 3 hours ago
House,"Front Open, Park Facing Near To Gate Mosque Main Gate Easy Access Independent House For Sale",10.5 Crore,"Falcon Complex New Malir, Malir",5,5,500 Sq. Yd.,Added: 5 hours ago
House,A Prime Location 120 Square Yards House Is Up For Grabs In Naya Nazimabad,3.65 Crore,"Naya Nazimabad - Block C, Naya Nazimabad",2,2,120 Sq. Yd.,Added: 6 hours ago
House,Prime Location House Available For sale In Naya Nazimabad - Block D,3.85 Crore,"Naya Nazimabad - Block D, Naya Nazimabad",4,4,160 Sq. Yd.,Added: 6 hours ago
House,Pechs Block 2 300sqyds Townhouse For Sell,9.25 Crore,"PECHS Block 2, PECHS",5,5,300 Sq. Yd.,Added: 37 minutes ago
House,BRAND NEW 240 SQUARE YARDS HOUSE FOR SALE IN SECTOR T 4 GULSHAN E MAYMAR KARACHI,4.25 Crore,"Gulshan-e-Maymar - Sector T, Gulshan-e-Maymar",6,7,240 Sq. Yd.,Added: 39 minutes ago
House,BRAND NEW 240 SQUARE YARDS HOUSE FOR SALE IN SECTOR R GULSHAN E MAYMAR KARACHI,3.9 Crore,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",6,7,240 Sq. Yd.,Added: 40 minutes ago
House,"120 SQUARE YARDS G+2 HOUSE AVAILABLE FOR SALE IN SECTOR R 1, GULSHAN E MAYMAR",2.25 Crore,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",6,7,120 Sq. Yd.,Added: 42 minutes ago
House,Heart Of Dha Most Prime Location Phase 6 Slightly Used House Khy-Tariq And Amir Khusro Most Prime Location,15.49 Crore,"DHA Phase 6, DHA Defence",6,6,500 Sq. Yd.,Added: 2 hours ago
House,Single Storey Bungalow For Sale 560 Yards In Dha Phase 5,11 Crore,"DHA Phase 5, DHA Defence",3,3,500 Sq. Yd.,Added: 8 minutes ago
House,Bungalow For Sale 2000 Square Yards In DHA Phase 5,75 Crore,"DHA Phase 5, DHA Defence",7,7,"2,000 Sq. Yd.",Added: 9 minutes ago
House,"SINGLE STORY, 240 SQUARE YARDS HOUSE AVAILABLE FOR SALE IN DIAMOND CITY",2.1 Crore,"Diamond City, Gulshan-e-Maymar",3,3,240 Sq. Yd.,Added: 39 minutes ago
House,BRAND NEW 120 SQUARE YARDS HOUSE FOR SALE IN SECTOR R 3 GULSHAN E MAYMAR KARACHI,2.2 Crore,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",4,5,120 Sq. Yd.,Added: 40 minutes ago
House,BRAND NEW 120 SQUARE YARDS HOUSE FOR SALE IN SECTOR R 1 GULSHAN E MAYMAR KARACHI,2.15 Crore,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",4,5,120 Sq. Yd.,Added: 40 minutes ago
House,BRAND NEW 240 SQUARE YARDS HOUSE FOR SALE IN T 1 GULSHAN E MAYMAR KARACHI,4 Crore,"Gulshan-e-Maymar - Sector T, Gulshan-e-Maymar",6,7,240 Sq. Yd.,Added: 40 minutes ago
House,BRAND NEW 200 SQUARE YARDS HOUSE FOR SALE IN SECTOR Y 1 GULSHAN E MAYMAR KARACHI,2.85 Crore,"Gulshan-e-Maymar - Sector Y, Gulshan-e-Maymar",6,6,200 Sq. Yd.,Added: 40 minutes ago
House,Brand New Brigadier House For Sale,6.45 Crore,"Askari 6, Malir Cantonment",5,6,375 Sq. Yd.,Added: 1 minute ago
House,5 Bed Brand New House For Sale,6.45 Crore,"Askari 6, Malir Cantonment",5,6,375 Sq. Yd.,Added: 1 minute ago
House,Brand New House For Sale,6.55 Crore,"Askari 6, Malir Cantonment",5,6,375 Sq. Yd.,Added: 1 minute ago
House,BRAND NEW HOUSE FOR SALE PURPOSE,6.45 Crore,"Askari 6, Malir Cantonment",5,6,375 Sq. Yd.,Added: 1 minute ago
House,Brand New House For Sale,6.5 Crore,"Askari 6, Malir Cantonment",5,6,375 Sq. Yd.,Added: 1 minute ago
House,Brand New House For Sale Purpose,6.55 Crore,"Askari 6, Malir Cantonment",5,6,375 Sq. Yd.,Added: 1 minute ago
House,"GROUND+2 | 240 SQYARDS | 3BED DD PLANNING | FULLY BEAUTIFUL | RENOVATED HOUSE | CAR PARKING | SHADMAN TOWN 14B (DEMAND 6.50 CORE) ( RENTAL INCOME 150,000)",6.5 Crore,"Shadman Town - Sector-14/B, Shadman",10,7,240 Sq. Yd.,Added: 2 minutes ago
House,"Exclusive Brand New Ultramodern Bungalow For Sale 1000 Yards, Defence Phase 8 A Zone",38 Crore,"DHA Phase 8 - Zone A, DHA Phase 8",6,6,"1,000 Sq. Yd.",Added: 2 minutes ago
